NumberOfCubes,MinSurface,MaxSurface
481,1062,1926
482,1450,1930
483,502,1934
484,418,1938
485,1174,1942
486,378,1946
487,1950,1950
488,748,1954
489,1310,1958
490,378,1962
491,1966,1966
492,598,1970
493,1078,1974
494,622,1978
495,398,1982
496,528,1986
497,1150,1990
498,842,1994
499,1998,1998
500,400,2002
501,1342,2006
502,1510,2010
503,2014,2014
504,382,2018
505,1222,2022
506,642,2026
507,494,2030
508,1024,2034
509,2038,2038
510,434,2042
511,1182,2046
512,384,2050
513,510,2054
514,1546,2058
515,1246,2062
516,626,2066
517,1150,2070
518,694,2074
519,1390,2078
520,418,2082
521,2086,2086
522,558,2090
523,2094,2094
524,1056,2098
525,430,2102
526,1582,2106
527,1150,2110
528,404,2114
529,1150,2118
530,762,2122
531,726,2126
532,474,2130
533,1174,2134
534,902,2138
535,1294,2142
536,820,2146
537,1438,2150
538,1618,2154
539,406,2158
540,408,2162
541,2166,2166
542,1630,2170
543,1454,2174
544,472,2178
545,1318,2182
546,422,2186
547,2190,2190
548,1104,2194
549,750,2198
550,430,2202
551,1198,2206
552,508,2210
553,1278,2214
554,1666,2218
555,622,2222
556,1120,2226
557,2230,2230
558,594,2234
559,1230,2238
560,412,2242
561,542,2246
562,1690,2250
563,2254,2254
564,682,2258
565,1366,2262
566,1702,2266
567,414,2270
568,868,2274
569,2278,2278
570,478,2282
571,2286,2286
572,478,2290
573,1534,2294
574,766,2298
575,510,2302
576,416,2306
577,2310,2310
578,714,2314
579,1550,2318
580,562,2322
581,1342,2326
582,982,2330
583,1294,2334
584,892,2338
585,454,2342
586,1762,2346
587,2350,2350
588,434,2354
589,1278,2358
590,846,2362
591,1582,2366
592,624,2370
593,2374,2374
594,438,2378
595,478,2382
596,1200,2386
597,1598,2390
598,742,2394
599,2398,2398
600,440,2402
601,2406,2406
602,802,2410
603,822,2414
604,1216,2418
605,462,2422
606,1022,2426
607,2430,2430
608,520,2434
609,622,2438
610,874,2442
611,1342,2446
612,480,2450
613,2454,2454
614,1846,2458
615,686,2462
616,442,2466
617,2470,2470
618,1042,2474
619,2478,2478
620,598,2482
621,606,2486
622,1870,2490
623,1438,2494
624,460,2498
625,550,2502
626,1882,2506
627,598,2510
628,1264,2514
629,1366,2518
630,446,2522
631,2526,2526
632,964,2530
633,1694,2534
634,1906,2538
635,1534,2542
636,766,2546
637,462,2550
638,798,2554
639,870,2558
640,448,2562
641,2566,2566
642,1082,2570
643,2574,2574
644,562,2578
645,718,2582
646,790,2586
647,2590,2590
648,450,2594
649,1438,2598
650,490,2602
651,662,2606
652,1312,2610
653,2614,2614
654,1102,2618
655,1582,2622
656,688,2626
657,894,2630
658,874,2634
659,2638,2638
660,472,2642
661,2646,2646
662,1990,2650
663,622,2654
664,1012,2658
665,526,2662
666,702,2666
667,1438,2670
668,1344,2674
669,1790,2678
670,958,2682
671,1486,2686
672,472,2690
673,2694,2694
674,2026,2698
675,510,2702
676,546,2706
677,2710,2710
678,1142,2714
679,1566,2718
680,522,2722
681,1822,2726
682,850,2730
683,2734,2734
684,528,2738
685,1654,2742
686,490,2746
687,1838,2750
688,720,2754
689,1510,2758
690,566,2762
691,2766,2766
692,1392,2770
693,478,2774
694,2086,2778
695,1678,2782
696,628,2786
697,1510,2790
698,2098,2794
699,1870,2798
700,480,2802
701,2806,2806
702,498,2810
703,1518,2814
704,480,2818
705,782,2822
706,2122,2826
707,1630,2830
708,850,2834
709,2838,2838
710,1014,2842
